hora_actual,lastPrice,factor5,factor6,score_alcistabase,score_bajistabase,valor_total_fdusd,Decisión,Aciertos,deltascore,aciertosinfactorcompra,aciertosinfactorventa
2025-10-15 17:36:41.646890,111528.03,1,1,2172910.696237501,2468789.5219300017,164.94479012940002,-1,0,-295878.82569250045,0,0
2025-10-15 17:39:01.524920,111568.46,1,1,2450645.327027102,2337391.7459712024,164.9425985946,1,-1,113253.58105589962,0,-1
2025-10-15 17:42:01.568843,111571.56,1,1,2469940.6012998004,2394574.7342925016,164.94031149940002,1,-1,75365.86700729886,-1,0
2025-10-15 17:45:01.560553,111500.67,3,1,2487725.412754201,2421669.330514601,164.8431992072,-1,-1,66056.0822395999,-1,0
2025-10-15 17:48:01.573014,111328.29,1,3,2161193.2067832034,2347425.6902129,164.8400871663,-1,1,-186232.4834296964,-1,0
2025-10-15 17:51:01.484673,111050.19,1,1,2091501.0111647977,2156324.9672368974,164.83563045690002,-1,1,-64823.95607209974,0,1
2025-10-15 17:54:01.527380,111121.62,1,1,2047000.6784970968,2449778.719227697,164.83680976620002,-1,-1,-402778.0407306,0,-1
2025-10-15 17:57:01.736390,111043.0,3,1,2447637.6271177935,2295168.2319909963,164.8354186336,-1,1,152469.39512679726,0,1
2025-10-15 18:00:03.010465,110969.01,1,1,2565171.038636798,2093481.0677938983,164.8341316791,1,1,471689.97084289975,-1,0
2025-10-15 18:03:01.531764,111031.72,3,1,2451855.6449397947,2325929.2969130008,164.92621151720002,-1,1,125926.34802679392,1,0
2025-10-15 18:06:01.583144,110913.61,1,1,2479229.9338701,2011230.430575197,164.92410380069998,1,1,467999.50329490285,-1,0
2025-10-15 18:09:01.517223,111046.78,1,1,2652808.375512295,1868907.376652897,165.1207719578,1,1,783900.9988593978,0,0
2025-10-15 18:12:04.653033,111123.15,1,1,2214327.805905096,2273708.2680225973,165.2555920859,-1,1,-59380.462117501535,1,0
2025-10-15 18:15:02.681897,111150.55,1,1,2224487.849724594,2320997.0823827973,165.2722323536,-1,-1,-96509.23265820323,0,-1
2025-10-15 18:18:01.645373,111219.37,1,3,2104312.260532897,2387318.5697897994,165.2750640818,-1,-1,-283006.30925690243,0,-1
2025-10-15 18:21:03.769794,111112.29,1,1,2627044.658959896,2516790.4100363962,165.2730069358,1,1,110254.2489234996,0,1
2025-10-15 18:24:02.597335,111205.55,1,3,2304159.9656090983,2348466.9399275007,165.42784612490001,-1,1,-44306.974318402354,1,0
2025-10-15 18:27:01.590405,111201.9,1,1,2277375.314070496,2490325.727225699,165.4107366337,-1,1,-212950.41315520322,0,1
2025-10-15 18:30:01.553416,111191.04,1,1,2457888.487427997,2445376.0254713986,165.410499385,1,1,12512.46195659833,0,1
2025-10-15 18:33:02.594272,111232.73,1,1,1888351.4079960983,2126713.7038995023,165.4825929529,-1,1,-238362.295903404,1,0
2025-10-15 18:36:01.989377,111225.32,1,1,2418436.294492298,2138088.9512747996,165.4720162853,1,1,280347.34321749816,0,1
